,content_type,content_length,comments_count,follower_count,ER,day,hour,description_score,hashtag_count,desciption_word_count
21,3,77,184,738090,1.6270373531683129,1,4,-0.125,4,9
33,0,43,214,477195,2.5446620354362475,1,7,0.018518518518518517,1,19
35,3,169,188,206546,5.849060257763404,1,9,0.4,5,22
40,3,484,215,738764,1.638818350650546,1,11,-0.04928451178451179,2,26
44,3,555,198,97299,12.7544990184894,1,12,-0.10625000000000001,1,26
45,0,532,180,435193,2.742920956908774,1,13,-0.3125,4,8
59,1,279,197,515510,2.3211964850342377,1,15,0.0,2,17
61,3,189,218,611268,1.9811277541111263,1,17,0.011111111111111127,5,29
72,0,268,196,918846,1.3057683224392336,1,21,0.15000000000000002,2,7
84,3,488,203,750157,1.6081966841607824,5,4,0.11363636363636363,5,14
96,2,10,193,412713,2.922854380647084,5,10,0.12142857142857144,5,30
97,3,68,177,532345,2.283857273009045,5,11,-0.024999999999999994,1,13
101,3,447,238,42669,28.287515526494644,5,12,-0.5,5,16
107,0,112,202,670237,1.7643012844710155,5,15,0.08333333333333333,3,19
110,3,184,190,703135,1.7512995370732503,5,17,0.06666666666666667,5,21
118,3,150,187,399778,3.0606986877717133,5,20,0.19814814814814816,0,20
124,3,420,202,706853,1.723979384681115,5,21,0.14285714285714285,2,20
126,3,539,204,872702,1.3824879512135873,5,22,0.10357142857142858,3,18
141,3,172,215,85471,14.08664927285278,6,3,0.2325,4,13
148,3,77,193,299907,4.031916560800515,6,7,-0.02500000000000001,5,20
150,1,78,189,897133,1.341941495854015,6,7,-0.125,1,11
157,1,27,214,102383,11.803717414023811,6,11,0.4,1,13
162,3,391,191,114931,10.423645491642812,6,14,-0.041666666666666664,5,17
163,3,362,174,888159,1.380608652279603,6,14,-0.12222222222222223,1,17
169,3,173,202,820612,1.4707316003178115,6,16,0.18482142857142858,2,32
171,0,141,185,185234,6.470734314434715,6,17,-0.021875,4,18
179,1,43,218,795356,1.5081296928670935,6,20,0.19285714285714284,3,31
186,3,497,204,721245,1.6983133331946842,6,23,-0.03333333333333333,0,24
192,3,66,208,306392,3.9296065171414396,4,0,0.16666666666666666,4,18
193,0,112,181,441394,2.721378179132476,4,0,0.0,5,11
202,2,58,201,492563,2.439078858947992,4,4,0.125,5,17
203,0,138,193,884342,1.3800090915053227,4,4,0.3,4,20
204,3,452,201,627526,1.911952652161026,4,5,0.03333333333333333,4,18
205,1,361,179,554425,2.16187942462912,4,5,-0.1,0,16
208,0,37,185,368593,3.2740719438513484,4,5,0.4,2,11
210,3,122,200,88630,13.665801647297753,4,6,0.0,3,11
215,0,525,174,443226,2.734496622490558,4,7,0.07916666666666666,1,16
216,3,72,212,292098,4.1181384329916675,4,7,0.40238095238095234,2,14
218,3,114,207,915257,1.3253108143395789,4,9,0.07592592592592592,0,37
224,0,175,196,766860,1.581905432543098,4,11,0.14047619047619048,3,24
225,3,481,190,755151,1.584981017041625,4,12,0.0,3,12
226,3,163,173,635093,1.9033432898803797,4,12,-0.03333333333333334,3,21
232,3,389,187,555374,2.208601771058782,4,15,-0.03333333333333334,1,18
236,3,44,208,766702,1.547146088049855,4,16,0.4,5,26
238,3,85,194,779642,1.5426311050456492,4,17,0.0,1,14
249,3,30,196,397403,3.0477877620450777,4,22,-0.5,4,11
251,1,104,213,323549,3.754609039125449,4,23,0.0,0,13
259,1,588,195,298200,4.028839704896043,0,2,0.3892857142857143,3,33
273,2,188,208,469896,2.586742598362191,0,6,-0.04642857142857143,3,10
290,3,462,204,350202,3.4708539642834704,0,11,0.06666666666666667,0,25
291,3,79,220,497126,2.428961671688868,0,12,0.0,2,13
303,3,180,189,294348,4.141356489597348,0,15,-0.05,4,35
315,3,568,192,774906,1.5409610972169527,0,20,-0.049999999999999996,4,23
322,2,80,213,85099,14.27278816437326,0,21,-0.17500000000000002,1,24
324,3,176,196,639280,1.8990113878112878,0,22,0.0,5,15
325,3,106,193,690655,1.744865381413296,0,22,0.0,4,7
334,1,164,212,260445,4.673923477125689,2,1,0.4166666666666667,4,13
335,1,135,214,853474,1.422304604475356,2,1,0.0,1,11
348,3,371,192,662444,1.8167573409978808,2,2,0.036111111111111115,0,24
352,2,76,187,648796,1.862064501014186,2,3,-0.13055555555555556,1,32
353,0,199,213,391466,3.0768955669202436,2,4,-0.006802721088435362,4,24
356,1,97,209,287679,4.207467350762482,2,6,-0.25,0,11
357,3,326,195,726773,1.6720489066049509,2,6,0.06818181818181818,1,20
364,3,583,207,587040,2.091680294358136,2,8,-0.03928571428571429,4,28
366,3,111,214,520316,2.320128537273503,2,9,0.39285714285714285,4,12
380,0,179,203,128544,9.39989419965148,2,15,0.16468253968253968,5,16
381,3,493,221,744572,1.6346303648270415,2,15,0.05416666666666667,3,14
388,3,70,207,185417,6.527988264290761,2,16,0.0,3,18
389,1,16,193,302384,4.0289830149743375,2,16,0.2,2,7
390,3,52,197,402024,3.076184506397628,2,17,0.125,4,30
392,3,94,208,714573,1.7031150071441268,2,18,-0.10555555555555556,3,19
395,3,488,196,806705,1.474640667902145,2,18,0.2007142857142857,2,16
398,3,159,182,428768,2.841629972385999,2,19,-0.05833333333333333,4,25
401,3,29,191,573402,2.11736268795714,2,20,-0.1625,5,9
407,3,31,206,999118,1.1943534197161896,2,23,0.042857142857142864,3,33
408,3,123,192,154095,7.8652779129757615,2,23,0.016666666666666663,3,25
409,0,229,213,215798,5.56770683694937,3,0,0.29583333333333334,3,16
413,3,536,190,271463,4.444067884021027,3,0,-0.03703703703703704,1,22
420,3,372,177,423558,2.8850830346729373,3,3,0.15,2,27
423,3,479,197,858872,1.4006743728984064,3,4,0.09,3,18
428,3,103,194,43563,28.069692169960746,3,6,0.19374999999999998,3,27
435,3,88,195,452761,2.7261623682251783,3,8,-0.06999999999999999,0,25
436,3,120,200,604251,1.9832817819085116,3,8,0.6166666666666667,4,23
437,3,70,191,650189,1.8579213121107865,3,9,0.1388888888888889,0,15
444,1,27,198,519972,2.3308947404860265,3,11,0.0,3,8
452,3,294,201,768398,1.5888901324573983,3,13,0.0047619047619047545,5,21
456,3,319,198,233912,5.089520845446151,3,15,0.1875,5,9
460,1,77,195,65612,18.379259891483265,3,17,0.5,5,17
470,3,505,199,918043,1.3181299786611302,3,19,0.275,3,32
475,3,327,215,644730,1.854419679555783,3,22,0.0033333333333333383,2,38
486,0,81,198,959571,1.2770290056702422,1,1,0.025,3,20
488,3,79,191,51019,23.70489425508144,1,2,0.3462962962962963,0,29
496,2,100,208,763431,1.5887486884865822,1,4,0.2375,3,24
501,3,129,230,238874,5.133668796101711,1,6,0.03333333333333333,5,9
512,3,111,203,168352,7.21405151111956,1,12,0.1888888888888889,2,18
514,1,35,207,494505,2.46974246974247,1,12,0.12499999999999999,0,25
516,3,195,202,802038,1.5091554265508618,1,13,0.0,4,7
517,3,215,201,227807,5.21362381314007,1,13,0.19412698412698415,5,17
519,2,83,202,960034,1.2454767226994043,1,14,-0.006547619047619052,2,37
526,1,30,208,247919,4.820526058914403,1,16,0.2857142857142857,5,13
534,3,192,202,381379,3.2193697083478643,1,20,0.05,2,24
536,0,43,190,131764,9.20281715794906,1,20,0.03749999999999999,1,14
537,3,200,204,223780,5.492447939941013,1,21,0.12999999999999998,0,24
550,3,91,201,737547,1.6629448699540503,5,2,0.1787037037037037,1,37
553,0,41,198,541162,2.2416577660663535,5,4,0.10000000000000002,1,20
555,2,139,234,539942,2.261539202358772,5,5,0.1636111111111111,5,33
565,0,446,192,88301,13.662359429678034,5,11,-0.3125,2,12
569,3,30,191,144534,8.421547871089155,5,12,0.16999999999999998,2,19
570,0,581,183,697063,1.7212217547050983,5,12,0.02878787878787879,5,15
575,1,130,191,940412,1.278482197164647,5,15,0.35714285714285715,0,13
577,3,337,205,909027,1.357715447395952,5,15,0.03333333333333333,4,24
580,3,204,199,917730,1.3351421442036329,5,17,0.30208333333333337,2,17
586,1,72,182,943910,1.2804186839847018,5,19,0.16666666666666666,3,17
600,3,277,227,58202,20.73811896498402,5,22,0.04545454545454545,5,11
602,0,123,210,504330,2.364126663097575,5,23,0.18541666666666667,2,19
604,2,43,207,211665,5.7638249120071805,5,23,0.20833333333333334,1,25
611,3,321,187,195877,6.117104101043001,6,1,-0.075,5,16
612,3,13,202,956862,1.2727018107104264,6,2,0.029761904761904757,3,18
615,0,592,210,69352,17.595743453685547,6,2,-0.028409090909090905,5,21
617,3,124,207,699480,1.7401498255847203,6,3,0.19999999999999998,5,16
621,0,66,195,377853,3.164987442206361,6,3,0.20727272727272728,1,8
626,3,59,211,859360,1.4009262707130887,6,4,0.0,4,12
631,3,43,185,73773,16.499261247339813,6,5,-0.5,0,10
637,2,312,212,253621,4.755521033352917,6,6,0.12187500000000001,5,13
638,2,135,213,792470,1.5316668138856993,6,6,-0.2,2,16
653,3,181,180,82419,14.707773692959147,6,12,0.0,3,33
656,0,567,217,691909,1.7350547543101766,6,13,-0.16666666666666666,1,16
672,1,184,213,137850,8.811026478055858,6,17,0.04,0,18
675,3,116,162,415174,2.9226300298188232,6,17,0.020000000000000018,3,10
677,3,32,196,815668,1.5037981139385141,6,18,0.13614718614718616,5,25
679,3,88,206,420006,2.8744827454845883,6,18,0.3,0,9
680,2,333,209,932803,1.3081004242053254,6,18,0.23214285714285715,1,28
694,3,90,209,44827,27.603899435608003,6,23,0.05809523809523811,3,23
705,3,53,215,512039,2.3716943435949216,4,3,0.010416666666666657,5,15
715,3,491,207,998303,1.2217733493738874,4,7,0.19642857142857142,5,21
721,3,51,197,297908,4.043530217382547,4,9,0.13333333333333333,3,19
723,3,41,198,234253,5.102175852603809,4,11,0.1125,5,28
730,2,75,179,971017,1.2295356311990417,4,12,-0.07222222222222224,2,31
731,3,117,202,639822,1.8758342163914339,4,13,0.14333333333333334,3,19
732,0,58,186,659637,1.8340390244937745,4,14,0.0,4,7
734,3,185,177,267915,4.51001250396581,4,14,-0.025000000000000022,0,8
739,3,170,168,731599,1.652407944789427,4,17,0.13333333333333333,0,21
741,2,505,220,569911,2.124366787094827,4,17,-0.08333333333333333,1,12
745,1,102,174,289656,4.201190377551303,4,19,0.0024999999999999966,4,22
749,3,17,194,358002,3.391601164239306,4,20,0.10333333333333335,4,12
759,2,260,207,936085,1.2945405598850532,4,22,0.0,2,9
762,3,64,212,67710,18.28533451484271,4,23,-0.010101010101010102,1,9
764,3,160,193,193682,6.311376379839118,0,0,0.13333333333333333,3,25
768,3,424,181,967732,1.2435261002012954,0,1,0.2,4,24
770,3,84,198,470693,2.5968093853105954,0,1,0.4041666666666667,0,11
772,3,127,191,896350,1.330841747085402,0,2,0.037500000000000006,4,11
778,3,102,200,987473,1.2222106325945115,0,4,0.0,2,7
786,3,362,201,673065,1.7923974653265289,0,5,0.16458333333333336,3,26
790,0,590,221,427612,2.8280310187740287,0,6,0.05,3,26
794,3,447,202,325404,3.6874162579439713,0,8,0.2,1,13
797,1,163,217,147854,8.154666089520743,0,9,-0.1,0,21
799,1,598,205,175800,6.803185437997724,0,10,0.1180952380952381,4,26
802,3,150,195,97124,12.536551212882502,0,12,0.16666666666666666,1,29
803,2,203,213,709169,1.7266688194210407,0,12,0.15,0,13
806,3,281,196,471027,2.5703409783303295,0,13,0.09523809523809523,5,27
808,3,466,208,127113,9.626867432914022,0,14,0.2714285714285714,5,27
818,1,95,214,771013,1.5558751927658807,0,17,0.0,5,6
825,3,198,191,222981,5.4349922190679925,0,19,0.14583333333333334,1,18
834,3,312,226,954197,1.3011988090509612,0,21,0.13333333333333333,4,10
842,3,200,216,728110,1.6615621266017497,2,0,0.35,0,9
843,3,182,202,167993,7.186013702951908,2,0,0.3111111111111111,0,18
845,0,189,197,795047,1.5547508512075388,2,1,0.11666666666666665,3,20
847,3,162,201,866989,1.4091297582783635,2,4,0.0,2,15
848,3,12,204,903515,1.3267073595900454,2,4,0.0,1,14
851,3,118,209,493217,2.446995947017236,2,5,0.05729166666666667,3,14
854,0,88,174,262830,4.575581174142982,2,6,0.0,1,9
858,0,546,205,994789,1.221565578228147,2,7,0.2869047619047619,1,21
861,3,13,215,97126,12.49305026460474,2,9,0.05606060606060606,4,24
863,0,157,191,312902,3.8695821694971584,2,11,0.0,1,13
868,3,98,208,569719,2.1393002515275072,2,12,0.05833333333333334,2,19
869,3,179,195,336145,3.6751996906097073,2,12,0.0625,2,34
872,0,516,212,761820,1.5862014649129716,2,12,0.6583333333333334,3,31
878,3,226,210,903211,1.3638009280223558,2,13,-0.05777777777777778,1,26
879,3,430,210,91224,13.351749539594843,2,13,0.1,2,15
885,3,31,191,164406,7.280756176781869,2,15,-0.07222222222222222,1,35
892,1,558,203,257603,4.669588475289496,2,17,0.030000000000000006,3,15
901,3,385,212,823083,1.479802158470045,2,22,0.14285714285714288,2,11
908,1,75,206,47712,25.20749496981891,3,1,0.1,1,14
913,3,565,198,771036,1.569187430937077,3,3,0.16666666666666666,0,19
914,2,472,195,635417,1.8982809713935889,3,4,-0.023333333333333338,0,28
917,3,189,188,502298,2.4234617697064293,3,4,-0.15,4,15
923,3,124,212,961553,1.2566130000114397,3,6,0.15138888888888888,0,26
929,3,57,239,351289,3.472639336842315,3,8,0.1,0,15
935,3,165,190,424029,2.8439092609231915,3,10,-0.16666666666666666,4,14
936,0,68,189,920340,1.3228806745333246,3,10,0.12727272727272726,4,19
945,3,88,192,231396,5.245985237428478,3,14,0.10666666666666666,3,23
952,3,218,171,890971,1.3576199449813742,3,16,0.05000000000000002,1,12
953,3,28,181,545744,2.2153244011844384,3,17,-0.16666666666666666,4,20
954,3,436,206,885374,1.3647339994171954,3,17,0.0,3,7
956,0,459,203,649853,1.8644216461261238,3,17,0.0,3,12
957,3,291,203,634698,1.917920018654541,3,18,-0.08333333333333333,4,16
964,3,73,212,986057,1.215142735156284,3,19,0.15740740740740744,4,37
969,3,375,200,903128,1.348092407720722,3,21,0.20714285714285713,0,13
970,3,213,191,127590,9.590093267497453,3,21,0.2119047619047619,2,15
971,1,154,175,753121,1.6229795743313493,3,21,-0.08333333333333333,1,8
972,3,540,204,82909,14.490586064239105,3,22,0.0,4,13
974,3,248,198,281914,4.2860588690167924,3,22,0.040178571428571425,1,26
981,0,366,178,70201,17.031096423127874,1,1,0.0,0,9
987,3,121,212,567198,2.1366436411976064,1,3,0.09166666666666667,0,40
990,2,220,219,677346,1.7776734490201462,1,5,0.16166666666666663,1,13
993,1,40,192,671908,1.801585931407276,1,6,-0.1125,1,19
996,3,188,163,586385,2.056839789558055,1,6,-0.3333333333333333,1,9
1006,2,43,189,641831,1.913587844775338,1,10,0.1,2,18
1009,2,487,194,300044,3.9927477303328844,1,12,0.05238095238095238,5,26
1010,2,145,204,114705,10.552286299638203,1,13,0.16904761904761903,4,18
1014,2,170,189,245045,4.934603848272767,1,13,0.4166666666666667,1,12
1020,3,110,184,854642,1.4088940164419723,1,16,-0.14583333333333334,2,17
1021,1,17,233,224530,5.444706720705474,1,16,0.19999999999999998,1,12
1023,3,366,186,410914,2.925429651946636,1,17,0.17857142857142858,4,10
1029,3,482,200,917212,1.3234672027840892,1,18,-0.05,0,32
1031,1,480,200,198645,6.025321553525133,1,18,0.0,3,13
1039,3,126,199,102817,11.841427001371368,1,22,0.05,3,13
1045,3,275,178,226398,5.341036581595244,5,0,0.06875,3,18
1047,3,386,206,899687,1.3289066086316685,5,1,0.009999999999999998,5,19
1054,0,129,203,680113,1.7760283952813722,5,3,0.0,0,8
1059,3,559,188,572883,2.09065376350843,5,4,-0.029166666666666667,4,16
1060,0,10,198,590805,2.060070581664001,5,5,0.325,3,14
1066,3,157,207,427800,2.830060776063581,5,6,0.20833333333333334,5,13
1072,3,213,162,925852,1.2851946099376574,5,8,0.4666666666666666,2,13
1081,3,156,204,653690,1.821964539766556,5,9,0.05,4,18
1082,0,86,205,99556,12.214231186467918,5,10,0.05333333333333334,2,19
1085,3,71,185,228615,5.274369573300089,5,10,0.07500000000000001,1,28
1099,3,154,210,129946,9.267695812106567,5,15,0.3,4,20
1103,3,150,182,535135,2.245227839704,5,17,0.025,4,24
1106,3,163,208,313435,3.8882064861933094,5,19,0.31666666666666665,1,18
1112,3,449,197,770469,1.5678761896974438,5,22,0.052083333333333336,0,19
1113,3,78,177,447358,2.6690033485485896,5,22,-0.03333333333333333,1,12
1115,3,591,231,908162,1.34183108300061,5,23,0.0,3,14
1121,3,385,211,378715,3.2311896808946043,6,1,-0.16666666666666666,4,11
1122,1,566,219,282320,4.267497874752054,6,2,-0.2,2,15
1126,3,248,170,901070,1.314215321784101,6,3,0.125,1,19
1132,3,445,179,890482,1.3372533077591686,6,5,0.10000000000000002,3,32
1136,3,181,203,929440,1.2924987088999826,6,5,0.0,4,13
1137,3,510,214,331345,3.630656868218926,6,5,0.05,4,19
1138,3,160,207,820375,1.457626085631571,6,6,0.4666666666666666,5,13
1147,0,45,198,549231,2.2414976576340373,6,12,0.16666666666666666,2,17
1153,3,483,221,712820,1.683594736399091,6,13,0.11666666666666665,5,16
1157,3,205,212,846255,1.4444818642135053,6,14,0.049999999999999996,1,32
1163,1,278,183,992660,1.2243870005842887,6,16,0.15,2,10
1166,2,337,219,316666,3.799586946498835,6,17,0.2333333333333333,4,12
1171,3,149,221,86119,13.985299411279742,6,18,0.11249999999999999,5,28
1185,3,179,207,477962,2.561500705076973,6,23,-0.04791666666666667,2,34
1190,3,169,171,597013,1.9887339136668716,4,2,0.35,3,11
1195,3,280,178,745355,1.615874314923761,4,3,0.17142857142857143,2,23
1196,0,50,194,425625,2.802936857562408,4,4,0.37777777777777777,5,30
1197,3,496,164,900731,1.3470170339424312,4,5,0.014583333333333323,0,8
1213,3,181,183,401016,3.0255650647355714,4,9,0.0,5,12
1219,1,80,189,79987,15.094952929851102,4,11,-0.5,0,6
1220,1,520,239,401281,3.0143465551571094,4,12,-0.2033333333333333,5,16
1221,3,555,229,483470,2.5263201439592944,4,12,0.5071428571428571,3,15
1237,2,18,193,212922,5.728388799654334,4,16,0.13333333333333333,1,24
1245,3,197,210,198944,6.129865690847676,4,21,0.21000000000000002,3,23
1248,2,70,200,592877,2.0505096335327564,4,22,0.17066017316017318,4,33
1250,2,541,193,41897,28.64882927178557,4,23,0.04047619047619048,2,33
1255,2,283,203,387761,3.1643202900755876,0,0,0.15681818181818183,2,17
1270,3,363,213,739318,1.6534157155648856,0,4,0.03687500000000002,3,36
1276,0,317,205,171543,7.188285152993711,0,5,0.125,4,17
1279,1,585,196,520017,2.3362697757957913,0,5,-0.1083333333333333,3,21
1301,2,330,196,470889,2.5872339341118606,0,13,0.0625,5,20
1304,1,372,192,795907,1.5405066169791193,0,14,0.0619047619047619,5,17
1310,3,300,173,266962,4.499891370307385,0,15,0.08263888888888889,0,24
1312,0,88,211,730769,1.6493584155868681,0,16,0.0736111111111111,0,29
1318,3,187,193,515423,2.3419599047772413,0,17,0.0,4,16
1323,0,219,197,746586,1.6192374354729395,0,19,0.2658333333333333,1,21
1325,2,358,218,601131,2.013537814552901,0,20,-0.0875,5,21
1329,3,72,233,604642,2.0104458506025056,0,22,0.022727272727272724,4,22
1334,2,121,216,189543,6.353703381290789,2,0,0.0,2,24
1341,3,177,206,131693,9.18044239253415,2,3,-0.09583333333333333,2,20
1343,0,112,197,248085,4.884213072132535,2,4,0.05,3,12
1348,3,130,201,506585,2.3966362999299227,2,5,0.04285714285714286,3,17
1351,3,379,211,123213,10.018423380649768,2,6,0.1125,3,21
1358,3,38,184,940860,1.2896711519248347,2,7,0.22857142857142856,3,16
1359,0,175,214,567201,2.1375138619290164,2,7,0.03571428571428571,4,21
1360,2,406,183,251997,4.829025742369949,2,8,0.05357142857142857,4,15
1366,3,175,171,185591,6.473913066905183,2,10,0.25,1,22
1370,2,173,229,429159,2.850458687805685,2,12,0.05353535353535354,4,7
1380,0,148,192,335879,3.638214952408456,2,16,0.1,4,12
1384,0,198,203,272444,4.461100262806301,2,16,0.0,5,25
1398,1,398,219,154083,7.889254492708475,2,19,0.005208333333333343,1,14
1400,3,180,217,971422,1.2400378002557075,2,21,0.0,1,8
1402,3,239,204,154653,7.812974853381441,2,21,0.43333333333333335,2,22
1406,3,319,216,941429,1.2766762018166,2,23,0.16999999999999998,5,19
1409,3,166,187,106248,11.593629997741134,2,23,0.36742424242424243,0,14
1413,3,262,209,790803,1.5480467322455782,3,0,-0.1020833333333333,1,38
1446,3,127,221,244239,4.993878946441805,3,9,0.13333333333333333,2,27
1450,3,191,178,515120,2.3072293834446342,3,10,0.0,3,9
1458,3,569,193,103549,11.617688244212884,3,13,-0.017460317460317464,3,28
1461,3,390,187,205663,5.928144586046105,3,14,-0.075,2,12
1473,3,18,197,649493,1.8571408775768177,3,17,-0.006249999999999995,5,32
1474,0,17,209,536441,2.279281412121743,3,17,0.09999999999999998,1,22
1475,3,71,196,335350,3.5783509765916204,3,18,0.1,5,19
1479,3,13,213,916726,1.3119514445974043,3,20,-0.18888888888888888,4,19
1480,3,67,195,122338,9.794176788896337,3,20,-0.1125,3,17
1482,0,133,222,298895,4.060288730156074,3,21,0.0,3,7
1488,2,61,216,396516,3.039473816945596,3,23,0.0,5,10
1516,3,133,194,400963,2.953389714262912,1,7,0.6,0,14
1520,3,220,216,998440,1.2209046111934618,1,8,0.4,5,16
1521,3,354,224,83784,14.438317578535282,1,9,0.05,1,21
1524,3,138,208,730385,1.6428322049330146,1,10,0.20402462121212123,2,31
1530,1,74,213,334284,3.63014682126575,1,13,0.02083333333333333,2,11
1534,0,155,186,907428,1.3392798106296038,1,14,0.35,4,21
1547,3,169,214,749118,1.6148323762077537,1,17,0.3,4,21
1554,3,133,184,383809,3.1401035410842373,1,20,0.05555555555555557,4,23
1556,3,172,197,100644,11.952028933667183,1,21,0.0,0,6
1558,3,169,191,955716,1.2675313586881458,1,21,0.19375,0,18
1562,3,156,197,950014,1.2778759049866635,1,23,-0.25,5,10
1568,2,212,205,832067,1.4685115501516104,1,23,0.0,3,17
1569,3,55,181,324324,3.703395370062037,1,23,0.006818181818181834,3,36
1577,3,48,202,953670,1.285140562248996,5,1,0.20833333333333334,2,10
