content_length,follower_count,ER,hour,description_score,hashtag_count,hashtag_quality_score,day_sin,day_cos,content_type_mixed,content_type_text,content_type_video
77,738090.0,0.01627037353168313,4,0.129,4.0,0.367,0.0,1.0,0,0,1
43,477195.0,0.025446620354362473,7,0.257,1.0,0.367,0.0,1.0,0,0,0
169,206546.0,0.05849060257763404,9,0.414,5.0,0.425,0.0,1.0,0,0,1
484,738764.0,0.01638818350650546,11,0.286,2.0,0.2,0.0,1.0,0,0,1
555,97299.0,0.12754499018489399,12,0.397,1.0,0.14,0.0,1.0,0,0,1
532,435193.0,0.02742920956908774,13,0.078,4.0,0.31,0.0,1.0,0,0,0
279,515510.0,0.023211964850342378,15,0.229,2.0,0.18,0.0,1.0,1,0,0
189,611268.0,0.019811277541111262,17,0.339,5.0,0.42,0.0,1.0,0,0,1
268,918846.0,0.013057683224392335,21,0.183,2.0,0.213,0.0,1.0,0,0,0
488,750157.0,0.016081966841607825,4,0.244,5.0,0.409,0.7818314824680298,0.6234898018587336,0,0,1
10,412713.0,0.02922854380647084,10,0.384,5.0,0.485,0.7818314824680298,0.6234898018587336,0,1,0
68,532345.0,0.022838572730090448,11,0.199,1.0,0.113,0.7818314824680298,0.6234898018587336,0,0,1
447,42669.0,0.28287515526494644,12,0.063,5.0,0.457,0.7818314824680298,0.6234898018587336,0,0,1
112,670237.0,0.017643012844710156,15,0.271,3.0,0.247,0.7818314824680298,0.6234898018587336,0,0,0
184,703135.0,0.017512995370732504,17,0.278,5.0,0.364,0.7818314824680298,0.6234898018587336,0,0,1
150,399778.0,0.030606986877717134,20,0.336,0.0,0.0,0.7818314824680298,0.6234898018587336,0,0,1
420,706853.0,0.01723979384681115,21,0.312,2.0,0.18,0.7818314824680298,0.6234898018587336,0,0,1
539,872702.0,0.013824879512135872,22,0.254,3.0,0.233,0.7818314824680298,0.6234898018587336,0,0,1
172,85471.0,0.1408664927285278,3,0.27,4.0,0.367,0.9749279121818236,-0.22252093395631434,0,0,1
484,21146.0,0.5739146883571361,3,0.333,1.0,0.407,0.9749279121818236,-0.22252093395631434,0,1,0
77,299907.0,0.04031916560800515,7,0.38,5.0,0.415,0.9749279121818236,-0.22252093395631434,0,0,1
78,897133.0,0.01341941495854015,7,0.129,1.0,0.113,0.9749279121818236,-0.22252093395631434,1,0,0
27,102383.0,0.11803717414023812,11,0.334,1.0,0.087,0.9749279121818236,-0.22252093395631434,1,0,0
391,114931.0,0.10423645491642812,14,0.226,5.0,0.367,0.9749279121818236,-0.22252093395631434,0,0,1
362,888159.0,0.01380608652279603,14,0.441,1.0,0.14,0.9749279121818236,-0.22252093395631434,0,0,1
173,820612.0,0.014707316003178116,16,0.397,2.0,0.32,0.9749279121818236,-0.22252093395631434,0,0,1
141,185234.0,0.06470734314434715,17,0.215,4.0,0.388,0.9749279121818236,-0.22252093395631434,0,0,0
43,795356.0,0.015081296928670935,20,0.392,3.0,0.256,0.9749279121818236,-0.22252093395631434,1,0,0
497,721245.0,0.016983133331946842,23,0.267,0.0,0.0,0.9749279121818236,-0.22252093395631434,0,0,1
66,306392.0,0.039296065171414395,0,0.29,4.0,0.317,0.43388373911755823,-0.900968867902419,0,0,1
112,441394.0,0.02721378179132476,0,0.175,5.0,0.367,0.43388373911755823,-0.900968867902419,0,0,0
58,492563.0,0.024390788589479923,4,0.403,5.0,0.427,0.43388373911755823,-0.900968867902419,0,1,0
138,884342.0,0.013800090915053227,4,0.359,4.0,0.37,0.43388373911755823,-0.900968867902419,0,0,0
452,627526.0,0.01911952652161026,5,0.241,4.0,0.377,0.43388373911755823,-0.900968867902419,0,0,1
361,554425.0,0.021618794246291203,5,0.192,0.0,0.0,0.43388373911755823,-0.900968867902419,1,0,0
37,368593.0,0.032740719438513484,5,0.288,2.0,0.173,0.43388373911755823,-0.900968867902419,0,0,0
122,88630.0,0.13665801647297754,6,0.212,3.0,0.229,0.43388373911755823,-0.900968867902419,0,0,1
525,443226.0,0.02734496622490558,7,0.263,1.0,0.1,0.43388373911755823,-0.900968867902419,0,0,0
72,292098.0,0.04118138432991667,7,0.312,2.0,0.32,0.43388373911755823,-0.900968867902419,0,0,1
114,915257.0,0.01325310814339579,9,0.362,0.0,0.0,0.43388373911755823,-0.900968867902419,0,0,1
175,766860.0,0.01581905432543098,11,0.448,3.0,0.264,0.43388373911755823,-0.900968867902419,0,0,0
481,755151.0,0.01584981017041625,12,0.203,3.0,0.407,0.43388373911755823,-0.900968867902419,0,0,1
163,635093.0,0.019033432898803798,12,0.247,3.0,0.269,0.43388373911755823,-0.900968867902419,0,0,1
389,555374.0,0.02208601771058782,15,0.216,1.0,0.127,0.43388373911755823,-0.900968867902419,0,0,1
44,766702.0,0.01547146088049855,16,0.431,5.0,0.351,0.43388373911755823,-0.900968867902419,0,0,1
85,779642.0,0.015426311050456491,17,0.205,1.0,0.113,0.43388373911755823,-0.900968867902419,0,0,1
174,30781.0,0.39118287255124917,18,0.258,1.0,0.1,0.43388373911755823,-0.900968867902419,0,0,1
30,397403.0,0.030477877620450778,22,0.034,4.0,0.307,0.43388373911755823,-0.900968867902419,0,0,1
104,323549.0,0.03754609039125449,23,0.179,0.0,0.0,0.43388373911755823,-0.900968867902419,1,0,0
588,298200.0,0.04028839704896043,2,0.447,3.0,0.34,-0.433883739117558,-0.9009688679024191,1,0,0
188,469896.0,0.02586742598362191,6,0.147,3.0,0.336,-0.433883739117558,-0.9009688679024191,0,1,0
462,350202.0,0.034708539642834706,11,0.31,0.0,0.0,-0.433883739117558,-0.9009688679024191,0,0,1
79,497126.0,0.024289616716888677,12,0.19,2.0,0.193,-0.433883739117558,-0.9009688679024191,0,0,1
180,294348.0,0.041413564895973476,15,0.326,4.0,0.29,-0.433883739117558,-0.9009688679024191,0,0,1
568,774906.0,0.015409610972169528,20,0.392,4.0,0.317,-0.433883739117558,-0.9009688679024191,0,0,1
80,85099.0,0.1427278816437326,21,0.238,1.0,0.14,-0.433883739117558,-0.9009688679024191,0,1,0
176,639280.0,0.018990113878112877,22,0.212,5.0,0.457,-0.433883739117558,-0.9009688679024191,0,0,1
106,690655.0,0.01744865381413296,22,0.133,4.0,0.373,-0.433883739117558,-0.9009688679024191,0,0,1
164,260445.0,0.04673923477125689,1,0.339,4.0,0.393,-0.9749279121818236,-0.2225209339563146,1,0,0
135,853474.0,0.01422304604475356,1,0.193,1.0,0.113,-0.9749279121818236,-0.2225209339563146,1,0,0
371,662444.0,0.018167573409978807,2,0.305,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0,0,1
76,648796.0,0.01862064501014186,3,0.293,1.0,0.407,-0.9749279121818236,-0.2225209339563146,0,1,0
199,391466.0,0.030768955669202434,4,0.295,4.0,0.443,-0.9749279121818236,-0.2225209339563146,0,0,0
97,287679.0,0.04207467350762482,6,0.082,0.0,0.0,-0.9749279121818236,-0.2225209339563146,1,0,0
326,726773.0,0.016720489066049508,6,0.406,1.0,0.127,-0.9749279121818236,-0.2225209339563146,0,0,1
583,587040.0,0.020916802943581357,8,0.307,4.0,0.32,-0.9749279121818236,-0.2225209339563146,0,0,1
111,520316.0,0.02320128537273503,9,0.308,4.0,0.313,-0.9749279121818236,-0.2225209339563146,0,0,1
179,128544.0,0.09399894199651482,15,0.268,5.0,0.359,-0.9749279121818236,-0.2225209339563146,0,0,0
493,744572.0,0.016346303648270416,15,0.351,3.0,0.247,-0.9749279121818236,-0.2225209339563146,0,0,1
70,185417.0,0.06527988264290761,16,0.356,3.0,0.331,-0.9749279121818236,-0.2225209339563146,0,0,1
16,302384.0,0.040289830149743376,16,0.21,2.0,0.3,-0.9749279121818236,-0.2225209339563146,1,0,0
52,402024.0,0.03076184506397628,17,0.381,4.0,0.36,-0.9749279121818236,-0.2225209339563146,0,0,1
94,714573.0,0.017031150071441268,18,0.219,3.0,0.251,-0.9749279121818236,-0.2225209339563146,0,0,1
488,806705.0,0.014746406679021452,18,0.264,2.0,0.333,-0.9749279121818236,-0.2225209339563146,0,0,1
159,428768.0,0.02841629972385999,19,0.285,4.0,0.353,-0.9749279121818236,-0.2225209339563146,0,0,1
29,573402.0,0.0211736268795714,20,0.093,5.0,0.407,-0.9749279121818236,-0.2225209339563146,0,0,1
31,999118.0,0.011943534197161897,23,0.346,3.0,0.229,-0.9749279121818236,-0.2225209339563146,0,0,1
123,154095.0,0.07865277912975761,23,0.303,3.0,0.238,-0.9749279121818236,-0.2225209339563146,0,0,1
229,215798.0,0.055677068369493696,0,0.305,3.0,0.331,-0.7818314824680299,0.6234898018587334,0,0,0
536,271463.0,0.04444067884021027,0,0.258,1.0,0.113,-0.7818314824680299,0.6234898018587334,0,0,1
372,423558.0,0.028850830346729372,3,0.358,2.0,0.327,-0.7818314824680299,0.6234898018587334,0,0,1
479,858872.0,0.014006743728984063,4,0.271,3.0,0.264,-0.7818314824680299,0.6234898018587334,0,0,1
103,43563.0,0.28069692169960747,6,0.374,3.0,0.242,-0.7818314824680299,0.6234898018587334,0,0,1
88,452761.0,0.027261623682251785,8,0.283,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,0,1
120,604251.0,0.019832817819085115,8,0.471,4.0,0.31,-0.7818314824680299,0.6234898018587334,0,0,1
70,650189.0,0.018579213121107864,9,0.26,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,0,1
27,519972.0,0.023308947404860263,11,0.157,3.0,0.242,-0.7818314824680299,0.6234898018587334,1,0,0
294,768398.0,0.015888901324573983,13,0.262,5.0,0.377,-0.7818314824680299,0.6234898018587334,0,0,1
319,233912.0,0.05089520845446151,15,0.22,5.0,0.46,-0.7818314824680299,0.6234898018587334,0,0,1
77,65612.0,0.18379259891483266,17,0.396,5.0,0.476,-0.7818314824680299,0.6234898018587334,1,0,0
505,918043.0,0.013181299786611303,19,0.426,3.0,0.256,-0.7818314824680299,0.6234898018587334,0,0,1
327,644730.0,0.01854419679555783,22,0.336,2.0,0.213,-0.7818314824680299,0.6234898018587334,0,0,1
81,959571.0,0.012770290056702422,1,0.266,3.0,0.336,0.0,1.0,0,0,0
79,51019.0,0.2370489425508144,2,0.419,0.0,0.0,0.0,1.0,0,0,1
100,763431.0,0.015887486884865822,4,0.358,3.0,0.242,0.0,1.0,0,1,0
129,238874.0,0.051336687961017105,6,0.178,5.0,0.425,0.0,1.0,0,0,1
111,168352.0,0.0721405151111956,12,0.293,2.0,0.18,0.0,1.0,0,0,1
35,494505.0,0.024697424697424697,12,0.341,0.0,0.0,0.0,1.0,1,0,0
195,802038.0,0.015091554265508617,13,0.135,4.0,0.367,0.0,1.0,0,0,1
215,227807.0,0.052136238131400704,13,0.286,5.0,0.364,0.0,1.0,0,0,1
83,960034.0,0.012454767226994044,14,0.342,2.0,0.167,0.0,1.0,0,1,0
30,247919.0,0.04820526058914403,16,0.276,5.0,0.399,0.0,1.0,1,0,0
192,381379.0,0.03219369708347864,20,0.323,2.0,0.193,0.0,1.0,0,0,1
43,131764.0,0.0920281715794906,20,0.225,1.0,0.14,0.0,1.0,0,0,0
200,223780.0,0.054924479399410135,21,0.333,0.0,0.0,0.0,1.0,0,0,1
91,737547.0,0.016629448699540503,2,0.399,1.0,0.113,0.7818314824680298,0.6234898018587336,0,0,1
41,541162.0,0.022416577660663534,4,0.289,1.0,0.113,0.7818314824680298,0.6234898018587336,0,0,0
139,539942.0,0.02261539202358772,5,0.37,5.0,0.592,0.7818314824680298,0.6234898018587336,0,1,0
446,88301.0,0.13662359429678034,11,0.088,2.0,0.173,0.7818314824680298,0.6234898018587336,0,0,0
30,144534.0,0.08421547871089155,12,0.416,2.0,0.173,0.7818314824680298,0.6234898018587336,0,0,1
581,697063.0,0.017212217547050983,12,0.227,5.0,0.463,0.7818314824680298,0.6234898018587336,0,0,0
130,940412.0,0.01278482197164647,15,0.291,0.0,0.0,0.7818314824680298,0.6234898018587336,1,0,0
337,909027.0,0.01357715447395952,15,0.299,4.0,0.37,0.7818314824680298,0.6234898018587336,0,0,1
204,917730.0,0.013351421442036328,17,0.323,2.0,0.307,0.7818314824680298,0.6234898018587336,0,0,1
72,943910.0,0.012804186839847019,19,0.259,3.0,0.327,0.7818314824680298,0.6234898018587336,1,0,0
277,58202.0,0.2073811896498402,22,0.191,5.0,0.356,0.7818314824680298,0.6234898018587336,0,0,1
123,504330.0,0.02364126663097575,23,0.286,2.0,0.18,0.7818314824680298,0.6234898018587336,0,0,0
43,211665.0,0.05763824912007181,23,0.347,1.0,0.1,0.7818314824680298,0.6234898018587336,0,1,0
321,195877.0,0.06117104101043001,1,0.19,5.0,0.42,0.9749279121818236,-0.22252093395631434,0,0,1
13,956862.0,0.012727018107104264,2,0.256,3.0,0.247,0.9749279121818236,-0.22252093395631434,0,0,1
592,69352.0,0.17595743453685547,2,0.359,5.0,0.404,0.9749279121818236,-0.22252093395631434,0,0,0
124,699480.0,0.017401498255847202,3,0.288,5.0,0.428,0.9749279121818236,-0.22252093395631434,0,0,1
66,377853.0,0.03164987442206361,3,0.231,1.0,0.153,0.9749279121818236,-0.22252093395631434,0,0,0
59,859360.0,0.014009262707130888,4,0.185,4.0,0.297,0.9749279121818236,-0.22252093395631434,0,0,1
43,73773.0,0.16499261247339814,5,0.003,0.0,0.0,0.9749279121818236,-0.22252093395631434,0,0,1
312,253621.0,0.04755521033352916,6,0.243,5.0,0.372,0.9749279121818236,-0.22252093395631434,0,1,0
135,792470.0,0.015316668138856992,6,0.177,2.0,0.16,0.9749279121818236,-0.22252093395631434,0,1,0
181,82419.0,0.14707773692959147,12,0.344,3.0,0.34,0.9749279121818236,-0.22252093395631434,0,0,1
567,691909.0,0.017350547543101766,13,0.162,1.0,0.14,0.9749279121818236,-0.22252093395631434,0,0,0
184,137850.0,0.08811026478055858,17,0.234,0.0,0.0,0.9749279121818236,-0.22252093395631434,1,0,0
116,415174.0,0.02922630029818823,17,0.189,3.0,0.327,0.9749279121818236,-0.22252093395631434,0,0,1
32,815668.0,0.015037981139385141,18,0.471,5.0,0.375,0.9749279121818236,-0.22252093395631434,0,0,1
88,420006.0,0.028744827454845884,18,0.267,0.0,0.0,0.9749279121818236,-0.22252093395631434,0,0,1
333,932803.0,0.013081004242053253,18,0.392,1.0,0.127,0.9749279121818236,-0.22252093395631434,0,1,0
90,44827.0,0.27603899435608004,23,0.303,3.0,0.402,0.9749279121818236,-0.22252093395631434,0,0,1
53,512039.0,0.023716943435949215,3,0.225,5.0,0.409,0.43388373911755823,-0.900968867902419,0,0,1
491,998303.0,0.012217733493738874,7,0.448,5.0,0.367,0.43388373911755823,-0.900968867902419,0,0,1
51,297908.0,0.040435302173825474,9,0.277,3.0,0.251,0.43388373911755823,-0.900968867902419,0,0,1
